number	metonymy_source	metonymy_target	word_class_source	word_class_target	example_source	example_target	page
1	abstraction	characteristic	noun	verb	bahaya	berbahaya	88
2	abstraction	state	noun	verb	minat	berminat	95
3	action	state	verb	verb	campur	bercampur	141
4	characteristic	action	qual.adj	verb	salah	bersalah	164
5	contained	state	noun	verb	isi	berisi	137
6	entity	action	noun	verb	bedak	berbedak	139
7	entity	characteristic	noun	verb	bintang	berbintang	137
8	entity	state	noun	verb	kawan	berkawan	137
9	event	action	noun	verb	denyut	berdenyut	141
10	instrument	action	noun	verb	layar	berlayar	99
11	instrument	state	noun	verb	senjata	bersenjata	141
12	location	action	noun	verb	ladang	berladang	139
13	location	state	noun	verb	dasar	berdasar	106
14	material	action	noun	verb	damar	berdamar	137
15	material	state	noun	verb	air	berair	137
16	part	state	noun	verb	pagar	berpagar	95
17	patient	action	noun	verb	kurban	berkurban	115
18	possessed	state	noun	verb	suami	bersuami	99
19	product	action	noun	verb	telur	bertelur	99
20	product	action	interjection	verb	kokok	berkokok	139
21	product	action	pronoun	verb	aku	beraku	141
22	product	state	noun	verb	hasil	berhasil	139
23	quantity	group	numeral	numeral	tiga	bertiga	140
24	quantity	state	numeral	verb	satu	bersatu	105
25	state	action	qual.adj	verb	gembira	bergembira	138
